,planetMass,planetRadius,orbitRadius,velocity,requiredVelcity,thrust
0,3000000000000000000000000,3913914.88,4305306.368,6802.580349941649,6817.442968938482,53800000
1,7000000000000000000000000,5877309.68,6465040.648,8486.303951959553,8498.187463672914,63400000
2,1000000000000000000000000,4940673.8,5434741.180000001,3488.6013734609933,3503.26898122237,26500000
3,4000000000000000000000000,3918742.9,4310617.19,7845.440729293341,7867.254226006961,71000000
4,8000000000000000000000000,4950329.84,5445362.824,9906.40094657539,9899.072372930992,95500000
5,4000000000000000000000000,4634899.2,5098389.120000001,7239.29585033842,7233.965334642245,54300000
6,5000000000000000000000000,4580181.64,5038199.8040000005,8120.785936121406,8135.986621703509,68400000
7,9000000000000000000000000,6562888.52,7219177.372,9101.447790831113,9118.855115458256,67900000
8,3000000000000000000000000,7272607.46,7999868.206,4992.081197188848,5001.291040218181,43700000
9,5000000000000000000000000,4856988.12,5342686.932000001,7921.635647215187,7900.745199481127,62700000
10,3000000000000000000000000,4356483.38,4792131.718,6450.599034088381,6461.884199696861,45200000
11,9000000000000000000000000,6345627.62,6980190.382000001,9266.106695680146,9273.646512269992,71800000
12,6000000000000000000000000,5814545.42,6395999.962,7900.502387259435,7910.142656396238,55500000
13,5000000000000000000000000,4934236.4399999995,5427660.084,7800.3521442252695,7838.65586615653,60500000
14,7000000000000000000000000,5343008.8,5877309.680000001,8870.021182998786,8912.97420530881,73800000
15,6000000000000000000000000,5326915.399999999,5859606.9399999995,8295.854012209706,8264.266238390996,64600000
16,3000000000000000000000000,3785167.6799999997,4163684.448,6915.475429260347,6932.416386487318,56400000
17,8000000000000000000000000,5054936.9399999995,5560430.634,9803.181198091113,9796.110984411043,93100000
18,8000000000000000000000000,5610159.239999999,6171175.164,9271.150907131389,9298.737193732033,77300000
19,8000000000000000000000000,4908487.0,5399335.7,9934.263168990918,9941.175602640993,96400000
20,5000000000000000000000000,3849541.28,4234495.408,8866.600670956614,8874.565231851635,90600000
21,5000000000000000000000000,3789995.6999999997,4168995.27,8907.614607372028,8944.008801780506,92100000
22,3000000000000000000000000,4185893.34,4604482.674000001,6620.8742036688145,6592.241710143807,48400000
23,8000000000000000000000000,4100598.32,4510658.152,10873.826088643751,10876.469671092067,131100000
24,10000000000000000000000000,6508170.96,7158988.056000001,9689.006467155787,9652.439718298221,77800000
25,4000000000000000000000000,3577562.82,3935319.102,8247.186817611739,8233.849712340898,83200000
26,10000000000000000000000000,4530292.1,4983321.31,11515.015395451292,11569.203809197807,136800000
27,10000000000000000000000000,5930417.899999999,6523459.6899999995,10062.094506801996,10111.69416010846,88500000
28,8000000000000000000000000,3862416.0,4248657.600000001,11198.33429112764,11206.810907244471,143900000
29,1000000000000000000000000,7180875.08,7898962.588,2919.7972027212427,2905.881422726139,33100000
30,7000000000000000000000000,6593465.9799999995,7252812.578,8048.599657098248,8023.404902962992,53200000
31,6000000000000000000000000,6107445.3,6718189.83,7682.893597880734,7718.13563811956,51100000
32,10000000000000000000000000,6620824.76,7282907.2360000005,9564.073864485608,9569.968930519759,74500000
33,7000000000000000000000000,4115082.38,4526590.618,10160.223867726914,10156.085011752933,113500000
34,3000000000000000000000000,4832848.02,5316132.822,6121.673419138929,6135.156319944093,38000000
35,5000000000000000000000000,5259323.12,5785255.432000001,7601.338144921084,7592.532327481365,54800000
36,9000000000000000000000000,3984725.84,4383198.424000001,11731.839134744681,11702.768283977672,155800000
37,10000000000000000000000000,4585009.66,5043510.626,11469.142863603372,11499.963101138797,135200000
38,8000000000000000000000000,6860616.42,7546678.062000001,8392.328626872142,8408.722079792586,56200000
39,4000000000000000000000000,7209843.199999999,7930827.52,5816.210429730548,5800.07567786374,47100000
40,7000000000000000000000000,3825401.1799999997,4207941.298,10489.767829007797,10533.60674473918,126000000
41,7000000000000000000000000,4193940.0399999996,4613334.044,10037.954037129619,10060.150685170802,110300000
42,7000000000000000000000000,4216470.8,4638117.88,10036.418888202552,10033.236417648102,109800000
43,7000000000000000000000000,5362320.88,5898552.968,8924.879454396747,8896.909955173336,73900000
44,10000000000000000000000000,4108645.02,4519509.522000001,12089.994034942192,12148.349116817553,162100000
45,9000000000000000000000000,5595675.18,6155242.698,9904.783587599637,9875.556564722687,89000000
46,10000000000000000000000000,5285072.56,5813579.816,10741.53286154967,10711.27321911278,107400000
47,10000000000000000000000000,6284472.699999999,6912919.97,9817.616252039581,9822.728772903087,80800000
48,6000000000000000000000000,5108045.16,5618849.676000001,8429.634494269698,8439.463427028038,68900000
